"","year","survey","species","scientific_name","depth","cpue_kg_km2","fishing_event_id","o2","enviro","longitude","latitude","suvey","est_non_rf","quadratic","model"
"93",2013,"SYN HS","spotted ratfish","raja rhina",0,0,886480,NA,0.1,449.227243079527,5763.41765853317,"SYN HS",-18.3114492280932,TRUE,3
"94",2013,"SYN HS","spotted ratfish","raja rhina",0,0,886481,NA,0.2,449.227243079527,5763.41765853317,"SYN HS",-18.1380838162173,TRUE,3
"95",2013,"SYN HS","spotted ratfish","raja rhina",0,0,886482,NA,0.3,449.227243079527,5763.41765853317,"SYN HS",-17.9662022204997,TRUE,3
"96",2013,"SYN HS","spotted ratfish","raja rhina",0,0,886483,NA,0.4,449.227243079527,5763.41765853317,"SYN HS",-17.7958044409406,TRUE,3
"97",2013,"SYN HS","spotted ratfish","raja rhina",0,0,886484,NA,0.5,449.227243079527,5763.41765853317,"SYN HS",-17.6268904775398,TRUE,3
"98",2013,"SYN HS","spotted ratfish","raja rhina",0,0,886485,NA,0.6,449.227243079527,5763.41765853317,"SYN HS",-17.4594603302974,TRUE,3
"99",2013,"SYN HS","spotted ratfish","raja rhina",0,0,886486,NA,0.7,449.227243079527,5763.41765853317,"SYN HS",-17.2935139992135,TRUE,3
"100",2013,"SYN HS","spotted ratfish","raja rhina",0,0,886487,NA,0.8,449.227243079527,5763.41765853317,"SYN HS",-17.1290514842879,TRUE,3
"101",2013,"SYN HS","spotted ratfish","raja rhina",0,0,886488,NA,0.9,449.227243079527,5763.41765853317,"SYN HS",-16.9660727855207,TRUE,3
"102",2013,"SYN HS","spotted ratfish","raja rhina",0,0,886489,NA,1,449.227243079527,5763.41765853317,"SYN HS",-16.804577902912,TRUE,3
"103",2013,"SYN HS","spotted ratfish","raja rhina",0,0,886490,NA,1.1,449.227243079527,5763.41765853317,"SYN HS",-16.6445668364616,TRUE,3
"104",2013,"SYN HS","spotted ratfish","raja rhina",0,0,886491,NA,1.2,449.227243079527,5763.41765853317,"SYN HS",-16.4860395861696,TRUE,3
"105",2013,"SYN HS","spotted ratfish","raja rhina",0,0,886492,NA,1.3,449.227243079527,5763.41765853317,"SYN HS",-16.328996152036,TRUE,3
"106",2013,"SYN HS","spotted ratfish","raja rhina",0,0,886495,NA,1.4,449.227243079527,5763.41765853317,"SYN HS",-16.1734365340609,TRUE,3
"107",2013,"SYN HS","spotted ratfish","raja rhina",0,0,886496,NA,1.5,449.227243079527,5763.41765853317,"SYN HS",-16.0193607322441,TRUE,3
"108",2013,"SYN HS","spotted ratfish","raja rhina",0,0,886498,NA,1.6,449.227243079527,5763.41765853317,"SYN HS",-15.8667687465857,TRUE,3
"109",2013,"SYN HS","spotted ratfish","raja rhina",0,0,886499,NA,1.7,449.227243079527,5763.41765853317,"SYN HS",-15.7156605770857,TRUE,3
"110",2013,"SYN HS","spotted ratfish","raja rhina",0,0,886500,NA,1.8,449.227243079527,5763.41765853317,"SYN HS",-15.5660362237441,TRUE,3
"111",2013,"SYN HS","spotted ratfish","raja rhina",0,31.680281731,886501,NA,1.9,449.227243079527,5763.41765853317,"SYN HS",-15.4178956865609,TRUE,3
"112",2013,"SYN HS","spotted ratfish","raja rhina",0,0,886502,NA,2,449.227243079527,5763.41765853317,"SYN HS",-15.2712389655361,TRUE,3
"113",2013,"SYN HS","spotted ratfish","raja rhina",0,0,886503,NA,2.1,449.227243079527,5763.41765853317,"SYN HS",-15.1260660606697,TRUE,3
"114",2013,"SYN HS","spotted ratfish","raja rhina",0,0,886504,NA,2.2,449.227243079527,5763.41765853317,"SYN HS",-14.9823769719617,TRUE,3
"115",2013,"SYN HS","spotted ratfish","raja rhina",0,0,886505,NA,2.3,449.227243079527,5763.41765853317,"SYN HS",-14.8401716994121,TRUE,3
"116",2013,"SYN HS","spotted ratfish","raja rhina",0,55.422060305,886506,NA,2.4,449.227243079527,5763.41765853317,"SYN HS",-14.6994502430209,TRUE,3
"117",2013,"SYN HS","spotted ratfish","raja rhina",0,0,886342,NA,2.5,449.227243079527,5763.41765853317,"SYN HS",-14.5602126027881,TRUE,3
"118",2013,"SYN HS","spotted ratfish","raja rhina",0,0,886344,NA,2.6,449.227243079527,5763.41765853317,"SYN HS",-14.4224587787137,TRUE,3
"119",2013,"SYN HS","spotted ratfish","raja rhina",0,0,886345,NA,2.7,449.227243079527,5763.41765853317,"SYN HS",-14.2861887707977,TRUE,3
"120",2013,"SYN HS","spotted ratfish","raja rhina",0,0,886346,NA,2.8,449.227243079527,5763.41765853317,"SYN HS",-14.1514025790401,TRUE,3
"121",2013,"SYN HS","spotted ratfish","raja rhina",0,0,886349,NA,2.9,449.227243079527,5763.41765853317,"SYN HS",-14.0181002034409,TRUE,3
"122",2013,"SYN HS","spotted ratfish","raja rhina",0,0,886350,NA,3,449.227243079527,5763.41765853317,"SYN HS",-13.8862816440001,TRUE,3
"123",2013,"SYN HS","walleye pollock","raja rhina",0,0,886312,NA,-3,449.227243079527,5763.41765853317,"SYN HS",-36.2726339279713,TRUE,4
"124",2013,"SYN HS","walleye pollock","raja rhina",0,0,886317,NA,-2.9,449.227243079527,5763.41765853317,"SYN HS",-35.9272507511368,TRUE,4
"125",2013,"SYN HS","walleye pollock","raja rhina",0,0,886318,NA,-2.8,449.227243079527,5763.41765853317,"SYN HS",-35.5854277148045,TRUE,4
"126",2013,"SYN HS","walleye pollock","raja rhina",0,0,886319,NA,-2.7,449.227243079527,5763.41765853317,"SYN HS",-35.2471648189744,TRUE,4
"127",2013,"SYN HS","walleye pollock","raja rhina",0,0,886320,NA,-2.6,449.227243079527,5763.41765853317,"SYN HS",-34.9124620636466,TRUE,4
"128",2013,"SYN HS","walleye pollock","raja rhina",0,0,886321,NA,-2.5,449.227243079527,5763.41765853317,"SYN HS",-34.5813194488211,TRUE,4
"129",2013,"SYN HS","walleye pollock","raja rhina",0,0,886322,NA,-2.4,449.227243079527,5763.41765853317,"SYN HS",-34.2537369744978,TRUE,4
"130",2013,"SYN HS","walleye pollock","raja rhina",0,0,886323,NA,-2.3,449.227243079527,5763.41765853317,"SYN HS",-33.9297146406768,TRUE,4
"131",2013,"SYN HS","walleye pollock","raja rhina",0,0,886324,NA,-2.2,449.227243079527,5763.41765853317,"SYN HS",-33.609252447358,TRUE,4
"132",2013,"SYN HS","walleye pollock","raja rhina",0,0,886325,NA,-2.1,449.227243079527,5763.41765853317,"SYN HS",-33.2923503945415,TRUE,4
"133",2013,"SYN HS","walleye pollock","raja rhina",0,0,886326,NA,-2,449.227243079527,5763.41765853317,"SYN HS",-32.9790084822273,TRUE,4
"134",2013,"SYN HS","walleye pollock","raja rhina",0,0,886327,NA,-1.9,449.227243079527,5763.41765853317,"SYN HS",-32.6692267104153,TRUE,4
"135",2013,"SYN HS","walleye pollock","raja rhina",0,0,886328,NA,-1.8,449.227243079527,5763.41765853317,"SYN HS",-32.3630050791055,TRUE,4
"136",2013,"SYN HS","walleye pollock","raja rhina",0,0,886330,NA,-1.7,449.227243079527,5763.41765853317,"SYN HS",-32.060343588298,TRUE,4
"137",2013,"SYN HS","walleye pollock","raja rhina",0,38.167938931,886331,NA,-1.6,449.227243079527,5763.41765853317,"SYN HS",-31.7612422379928,TRUE,4
"138",2013,"SYN HS","walleye pollock","raja rhina",0,0,886332,NA,-1.5,449.227243079527,5763.41765853317,"SYN HS",-31.4657010281898,TRUE,4
"139",2013,"SYN HS","walleye pollock","raja rhina",0,0,886333,NA,-1.4,449.227243079527,5763.41765853317,"SYN HS",-31.1737199588891,TRUE,4
"140",2013,"SYN HS","walleye pollock","raja rhina",0,31.347962382,886334,NA,-1.3,449.227243079527,5763.41765853317,"SYN HS",-30.8852990300906,TRUE,4
"141",2013,"SYN HS","walleye pollock","raja rhina",0,58.282487934,886335,NA,-1.2,449.227243079527,5763.41765853317,"SYN HS",-30.6004382417944,TRUE,4
"142",2013,"SYN HS","walleye pollock","raja rhina",0,0,886336,NA,-1.1,449.227243079527,5763.41765853317,"SYN HS",-30.3191375940004,TRUE,4
"143",2013,"SYN HS","walleye pollock","raja rhina",0,0,886337,NA,-1,449.227243079527,5763.41765853317,"SYN HS",-30.0413970867087,TRUE,4
"144",2013,"SYN HS","walleye pollock","raja rhina",0,0,886338,NA,-0.9,449.227243079527,5763.41765853317,"SYN HS",-29.7672167199192,TRUE,4
"145",2013,"SYN HS","walleye pollock","raja rhina",0,0,886339,NA,-0.8,449.227243079527,5763.41765853317,"SYN HS",-29.496596493632,TRUE,4
"146",2013,"SYN HS","walleye pollock","raja rhina",0,0,886340,NA,-0.7,449.227243079527,5763.41765853317,"SYN HS",-29.2295364078471,TRUE,4
