"","species","spatial_only","depth_effect","time_varying","quadratic","covariate","lo","lo_se","hi","hi_se","range","range_se","peak","peak_se","reduction","reduction_se","converged","b_env","b_env_se","b_env2","b_env2_se"
"47","rougheye/blackspotted rockfish complex",FALSE,FALSE,FALSE,TRUE,"temp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,-1.1830068463108,0.354815927814019,0.0395111966461096,0.0224842838699499
"48","sharpchin rockfish",FALSE,FALSE,FALSE,TRUE,"temp",5.3269755589161,0.0472875089559435,7.77105975473094,0.0784249876191284,2.44408419581484,0.0796638822451993,2.995732273554,0,0.330381157537275,0.0436518813111769,1,26.2746428248033,1.62421076426531,-2.00599877734544,0.130769349645242
"49","silvergray rockfish",FALSE,FALSE,FALSE,TRUE,"temp",5.40444153282531,0.0338024353146543,8.27728767816487,0.050983344511051,2.87284614533955,0.0560208791376833,2.995732273554,0,0.515342145759993,0.018901784294682,1,19.8645734522963,0.742199408058161,-1.45190517557822,0.056624685239335
"50","yellowmouth rockfish",FALSE,FALSE,FALSE,TRUE,"temp",5.40196583158868,0.0472883233058324,7.44163706625313,0.0607387415962746,2.03967123466445,0.0655061883882522,2.995732273554,0,0.0385213409358906,0.0617577981211257,1,36.9938487611918,2.32494791172972,-2.88033264929174,0.185009828975088
"51","yellowtail rockfish",FALSE,FALSE,FALSE,TRUE,"temp",5.12501109512228,0.132662978025655,9.67522174863493,0.145041745813832,4.55021065351264,0.187028089163367,2.99573227355399,0,0.806804509314458,0.0158818947997507,1,8.56581186607715,0.703585361906545,-0.578761966551779,0.0475779048168024
"52","shortspine thornyhead",FALSE,FALSE,FALSE,TRUE,"temp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,-1.12431565168463,0.20539969842372,0.0175166959451939,0.0143943412617831
"53","pacific halibut",FALSE,FALSE,FALSE,TRUE,"temp",4.8278454486218,0.145453880472672,14.1767614296594,0.342791989584161,9.34891598103756,0.399243735794763,2.99573227355399,0,0.954234577320718,0.00390880789981709,1,2.60554972833622,0.192390798821062,-0.137100953733165,0.0117097419766049
"54","arrowtooth flounder",FALSE,FALSE,FALSE,TRUE,"temp",1.02208825052924,0.386159812017908,9.77726716909639,0.107443711742508,8.75517891856715,0.348507336473444,2.99573227355399,0,0.947816892222227,0.00415438589426674,1,1.68822673205427,0.198838294078903,-0.15632662010422,0.0124454279002522
"55","dover sole",FALSE,FALSE,FALSE,TRUE,"temp",NA,NA,NA,NA,NA,NA,2.99573227355399,NA,1.00863984725429,NA,0,0.733530566812595,0.439200740076214,-0.0451120048540717,0.0290110010032755
"56","english sole",FALSE,FALSE,FALSE,TRUE,"temp",4.65973464913749,0.197533846011759,12.4685220633401,0.236826052125365,7.80878741420256,0.350956448426774,2.99573227355399,0,0.934401668718913,0.00589647435586753,1,3.36596002061101,0.297233183697157,-0.196515038110036,0.0176642585280556
"57","flathead sole",FALSE,FALSE,FALSE,TRUE,"temp",1.33686569930612,0.683636595228879,8.11720029236763,0.207770006089496,6.78033459306151,0.532065314806265,2.99573227355399,0,0.91299228972184,0.0136553098152694,1,2.46421937220446,0.600368309406498,-0.26065180572832,0.040907652318981
"58","pacific sanddab",FALSE,FALSE,FALSE,TRUE,"temp",6.43679416348567,0.0889762676168213,10.8536176027243,0.121789410235747,4.41682343923863,0.151659852396293,2.99573227355399,0,0.794959376590404,0.0140809027616028,1,10.620580321776,0.706815272673474,-0.614246812937757,0.0421826148437086
"59","petrale sole",FALSE,FALSE,FALSE,TRUE,"temp",5.46266687578973,0.0658392985647977,10.2377573627799,0.0887422476582702,4.77509048699013,0.117683369734436,2.99573227355399,0,0.824572861354932,0.0086468965875596,1,8.2510869833295,0.39429021692418,-0.525532740896257,0.0259037871734361
"60","rex sole",FALSE,FALSE,FALSE,TRUE,"temp",2.66290957831551,0.179226290299032,8.92833811433814,0.0714322030971525,6.26542853602263,0.182321452514312,2.99573227355399,0,0.898103696390479,0.00593028297206329,1,3.53827524801219,0.254707550860734,-0.305254045278895,0.0177655400907175
"61","southern rock sole",FALSE,FALSE,FALSE,TRUE,"temp",7.08890614067374,0.103933785325858,13.8322064016126,0.237497914018365,6.7433002609389,0.234884982846207,2.99573227355399,0,0.912033969402378,0.00612812681874998,1,5.51318757956696,0.337217201384941,-0.263522676837742,0.0183582272873613
"62","slender sole",FALSE,FALSE,FALSE,TRUE,"temp",3.20099918395117,0.212652962125956,8.61299316096294,0.0891007783296355,5.41199397701178,0.229619715673379,2.99573227355399,0,0.863433121737917,0.011588500611841,1,4.83331461299123,0.481320288619556,-0.409117804708241,0.0347160452849923
